club_name,club_description,page_url
Student Government Association's Student Legislative Assembly,"Lehman College Student Conference has been established to promote the interests of the students while upholding the Lehman College Mission of being an “intellectual, economic, and cultural center.” We, the Lehman College Student Conference, affirm that by providing an essential agency and promoting and cultivating the needs of Lehman College students, the mission of beingan “intellectual, economic, and cultural center,” can be realized. The Lehman College Student Conference shall provide accountability for school policy in the best interest of all students. The Lehman College Student Conference shall advocate the interests of the students assiduously to Administration and Faculty in prior, present and future College policies. The Lehman College Student Conference shall work to coalesce the Lehman College student body in order to safeguard the interests and resources of students. We, the Lehman College Student Conference, to endorse the highest integrity of ethical standards in order to promote the student life and academic standards of Lehman College, do hereby adopt these bylaws.",https://lehman.campuslabs.com/engage/organization/sla
Lehman Athletics,"The mission statement of Lehman College intercollegiate athletics program is to integrate academic and athletic experiences successfully into the student-athlete’s college career.Lehman College is committed to offering a broad program in intercollegiate athletics, with ample opportunity provided for meaningful and successful contributions by men and women of diverse backgrounds, culture and experiences.Our Department conducts all of its NCAA varsity sports offerings in ways that promote sportsmanship, student-athlete success, and a comprehensive commitment to academic excellence, diversity, and equitable opportunity for all of its student-athletes.",https://lehman.campuslabs.com/engage/organization/lehman-athletics
Health Services Administration Organization,"The purpose of Health Service Administration Club is to promote healthcare-related activities and events, advance members’ knowledge, and experience in different aspects of healthcare, create awareness of healthcare programs within the Lehman College community, and foster collaboration, community engagement, and networking opportunities among Lehman College, CUNY, alumni, the Bronx community, and other New York City areas. The goal of the club will be to expand on innovative ideas and opportunities that focus on health care disparities, health equity, and provide strategic leadership in the advancement of the healthcare, especially among minoritized and underserved populations.",https://lehman.campuslabs.com/engage/organization/hsa
Lehman Kpop Club,"This club is meant to create a sense of community and fandom at Lehman. Our goal is to bring together students with the same music taste, create activities that range from dance practices to engaging events that will help us get to know one another.",https://lehman.campuslabs.com/engage/organization/lkc
The Unity Initiative,"The Unity Initiative will represent the interests of countless students who want to get started in philanthropy and helping their own neighborhoods grow. In doing so, The Unity Initiative will strive to positively contribute to the Lehman College community
 by adding another dimension of leadership training, supporting community-building initiatives, and educating students about how philanthropic works can positively impact their lives.",https://lehman.campuslabs.com/engage/organization/unityinitiative
Student Elections Review Committee,"CUNY BYLAWS 15.2.d""Each college shall establish a student elections review committee in consultation with the various student governments. The student elections review committee shall approve the election procedures and certify the results of elections for student governments, and student body referenda.""The Lehman College SERC is composed of 2 students and 3 staff/faculty, all appointed by the Lehman College president.The current members SPRING 2025 are:- Justin Jackson, student- Nishat Anika, student- Bascillia Toussaint, Director, Career Exploration and Development Center- Rebecca Arzola, Lecturer andGovernment Information-Student Engagement Librarian- David Charcape, Assistant Director, Office of Campus Life",https://lehman.campuslabs.com/engage/organization/serc
Women in Islam,"This organization is created to encourage and empower women and to bond with women on campus. To create an environment of women supporting women, building a sisterhood. Everyone's welcome to join our club :)Join our whats app gc and follow us on Instagram for more updatesGroup link: https://chat.whatsapp.com/COlw2BKAWJB1UVRX2oHV5eOfficial Instagram: https://instagram.com/lehmanwii?igshid=YmMyMTA2M2Y=",https://lehman.campuslabs.com/engage/organization/muslimwomeninleadership
Students Uplifting Ancestral Spaces,"Mission Statment:The primary goal of the Van Cortlandt African Burial Ground Project is to raise awareness and provide a place to show respect for the spirits of our ancestors and to promote the dedication of the enslaved people through research,
 service projects, and community forums.We recognize education as the first pillar of liberation. The involvement of scholars and academicians as guest speakers would allow for an accurate, comprehensive historical recount of the lives of enslaved Africans in the
 seventeenth century. With this knowledge being accessible to community members We will be able to reclaim our history.We place emphasis on community activism, engagement, and healing. Community forums will be held to give space to community members to express their grief and love for Our Ancestors. Whether it manifests in rage or sorrow, poetry
 or song, We welcome heaviness. We stress the importance of grieving in whichever way comes naturally, seeing as grief is proof of ongoing love.Historically, in spite of and because of the trauma of enslavement, the arts have always been a place of salvation for the Black community. From work songs to poetry, Black people are natural artists. This is why We welcome
 all Black creatives of different ages and experiences. Through Open Mic nights We want to highlight Black creativity as a tether from Us to Our Ancestors.Lastly, spirituality cannot and will not be divorced from this committee. Our invitation to the community extends to spiritual leaders versed in Afro-centric grieving practices such as pouring libations and…   We employ these
 pillars (education, community engagement, creativity, and spirituality) separately and simultaneously because we expect to find healing in our grief and grief in our healing. We do this for Our Ancestors.Vision:To curate a shared space where We, the descendents, uplift Our enslaved African Ancestors’ burial grounds located in Van Cortlandt Park. In restoration, we engage in communal grieving and celebration, confront the systematic
 erasure of Our Ancestors’ humanity and roles in the origins of the park, and reforge the frayed ties between generations that were and continue to be separated by American chattel slavery.",https://lehman.campuslabs.com/engage/organization/suasbx
Psychology Club,"The Psychology Club is a student guided club whose purpose is to provide services for students who are interested in majoring in psychology, gain knowledge, and help students network among themselves and in the community.",https://lehman.campuslabs.com/engage/organization/prepsychology
Afro DC,"The purpose of Afro D C is to spread the African culture, connect people to their roots and unite people of diverse cultural backgrounds through African dance. Afro D C focuses on different African styles genres like Amapiano,
 Afrobeats, West African Drums and so much more. We are proud to say that this club requires NO auditions and NO experience to join.",https://lehman.campuslabs.com/engage/organization/afro-danceclub
